lon,lat
-76.5844719,36.0239583
-81.1340843,36.5029951
-80.7013751,36.4135582
-76.0154824,36.4498773
-78.47570370791814,35.95074395
-76.4660519,36.190158
-76.1718764,36.3284897
-76.7691236,36.5034867
-81.374976,36.195746
-77.2646852,35.7165488
-79.090543,35.798609
-79.7739457,34.9393201
-78.69153952427362,35.788495850000004
-78.9882995,36.3967816
-82.839183,35.526399
-77.59130166291504,36.3261505
-76.3385487,36.2673789
-81.1341351,36.1998247
-81.6863808,36.2228105
-78.68747092524586,35.78774505
-76.6677262,36.266545
-80.75764294668527,35.03740345
-80.3989449,35.7212499
-83.3815429,35.1823171
-80.3285990155299,36.065713450000004
-79.8980907,36.0768027
-79.3992505,36.0702678
-78.68963929938604,35.78766265
-78.5222311,35.1296112
-78.90918652627246,35.9825698
-77.84735049466983,35.9792779
-82.43987784816656,35.612898650000005
-77.5949717,34.4629453
-80.8429011,35.4536826
-79.086486,35.798533
-79.651903,36.35125
-78.6666281,35.7800445
-79.9594689,36.385422
-78.5911234,33.9332275
-79.035285,35.850616
-79.038885,35.836317
-80.8485218,35.4992614
-81.68730807981271,35.74470235
-77.0535574,35.5493702
-78.68986559999999,35.78857625
-81.9862911,35.6414327
-79.82817770798805,35.6882029
-80.96801880273804,36.416494650000004
-77.9155395,35.7212689
-78.2711102,34.5129458
-77.37848007266919,35.5812437
-81.0756345,35.7073558
-82.63295417705103,35.5639021
-78.31964840427275,35.507622850000004
-79.0639047,35.6201515
-75.90176166116555,35.6549115
-76.6591587,34.7180601
-79.0555251,35.8361447
-77.3726142,35.616797
-81.533211,35.2481
-78.72077040530671,35.645118
-77.97114538174846,35.39845225
-78.7922429,35.3454392
-80.6770111,35.7331953
-77.03558594651092,34.66515295
-77.4214855,36.3896747
-83.1784265020697,35.31125205
-80.89225485645045,35.16523665
-80.5417335,35.2370876
-79.658251,36.353998
-80.2391366,35.3235477
-78.3991638,36.3295905
-79.4005756,36.0690258
-81.5389849,35.9140196
-82.7724889,35.1982216
-77.6449804,36.5004281
-78.66977,35.7864203
-78.0838809,36.4387585
-78.2018701,34.727756
-76.634929,35.0848861
-83.3189781,35.4766377
-79.7816972,36.0748576
-76.689095,35.2898918
-80.7234025,34.9815382
-80.0958187,34.9705848
-76.8152226,35.7334952
-79.063224,35.843569
-79.0819061697977,35.79538425
23.943611,-31.413056
-78.5877789,36.2426458
-80.3317223,35.6284724
-79.4903372,34.8628902
-77.41675528016263,34.761229400000005
-79.0954942,34.6485079
-76.87718718839085,34.77588015
-79.0863903,35.7961838
-77.592753,36.3104307
-82.1970584,35.2531698
-78.69022469985785,35.7873014
-78.7011356,34.2867996
